id,order_ref_id,order_priority,order_date,ship_date,country_id,sales_channel,item_type_id,units_sold,total_revenue,total_cost,total_profit,created_at,updated_at
1,279703605,C,2010-01-01,2010-01-10,5,Offline,8,9367,2391207.76,1493287.14,897920.62,2010-01-01,2010-01-10
2,872081267,H,2010-01-01,2010-01-12,3,Online,2,7081,335993.45,225104.99,110888.46,2010-01-01,2010-01-12
3,570716845,L,2010-01-01,2010-01-13,1,Offline,10,6652,2908254.4,1751671.16,1156583.24,2010-01-01,2010-01-13
4,770144021,L,2010-01-01,2010-01-21,2,Offline,2,1585,75208.25,50387.15,24821.1,2010-01-01,2010-01-21
5,940682303,L,2010-01-01,2010-02-09,4,Online,7,7652,1574016.4,896125.72,677890.68,2010-01-01,2010-02-09
6,100624740,M,2010-01-02,2010-01-20,6,Online,10,5951,2601777.2,1567076.83,1034700.37,2010-01-02,2010-01-20
7,229640281,M,2010-01-02,2010-01-28,8,Offline,2,4517,214331.65,143595.43,70736.22,2010-01-02,2010-01-28
8,233851563,H,2010-01-02,2010-02-21,7,Offline,9,729,307557.81,265859.01,41698.8,2010-01-02,2010-02-21
9,295840632,L,2010-01-03,2010-01-06,12,Offline,1,4672,43589.76,32330.24,11259.52,2010-01-03,2010-01-06
10,761485421,L,2010-01-03,2010-01-26,10,Offline,2,9313,441901.85,296060.27,145841.58,2010-01-03,2010-01-26
11,836226356,H,2010-01-03,2010-01-26,9,Offline,2,6816,323419.2,216680.64,106738.56,2010-01-03,2010-01-26
12,127467000,L,2010-01-03,2010-02-07,13,Online,7,9173,1886886.1,1074250.03,812636.07,2010-01-03,2010-02-07
13,231450879,L,2010-01-03,2010-02-22,11,Online,4,313,34204.64,11217.92,22986.72,2010-01-03,2010-02-22
14,684343802,L,2010-01-04,2010-01-28,14,Offline,10,1394,609456.8,367082.02,242374.78,2010-01-04,2010-01-28
15,517898786,C,2010-01-05,2010-01-09,12,Online,1,6614,61708.62,45768.88,15939.74,2010-01-05,2010-01-09
16,521874034,M,2010-01-06,2010-02-03,18,Offline,10,2979,1302418.8,784460.07,517958.73,2010-01-06,2010-02-03
17,868854463,M,2010-01-06,2010-02-12,15,Offline,3,2198,179642.54,124560.66,55081.88,2010-01-06,2010-02-12
18,264197003,M,2010-01-06,2010-02-14,16,Online,5,619,94447.02,60315.36,34131.66,2010-01-06,2010-02-14
19,773411166,M,2010-01-06,2010-02-19,17,Offline,3,8406,687022.38,476368.02,210654.36,2010-01-06,2010-02-19
20,280452048,L,2010-01-07,2010-01-14,19,Online,9,848,357762.72,309257.12,48505.6,2010-01-07,2010-01-14
21,193313300,C,2010-01-07,2010-02-13,20,Offline,6,4556,701897.36,414277.08,287620.28,2010-01-07,2010-02-13
22,876922976,H,2010-01-08,2010-01-17,21,Online,4,9851,1076517.28,353059.84,723457.44,2010-01-08,2010-01-17
23,889084756,H,2010-01-09,2010-02-08,22,Offline,10,8792,3843862.4,2315197.36,1528665.04,2010-01-09,2010-02-08
24,689421546,H,2010-01-10,2010-01-31,23,Online,4,4011,438322.08,143754.24,294567.84,2010-01-10,2010-01-31
